tour_id,r_word,s_word
1,소음,-1
1,화,-2
1,대가,1
3,최고,2
3,욕,-2
4,친절,2
5,최고,2
5,무서움,-2
5,불편,-2
5,해,-2
5,일진,-1
5,최악,-2
5,정,1
5,불만,-2
5,고급,2
6,비추,-2
6,예의,1
11,최고,2
11,친절,2
11,한숨,-1
11,짜증,-2
13,최고,2
13,윤기,1
13,친절,2
13,ㅉ,-1
19,맛,2
19,ㅜ,-1
19,친절,2
19,후회,-2
19,대접,1
19,기대,1
19,여유,1
22,최고,2
22,맛,2
25,고급,2
25,보람,1
25,후회,-2
25,만족,2
26,강추,2
27,최고,2
31,최고,2
33,찌꺼기,-1
33,부족,-1
33,최악,-2
33,친절,2
33,기대,1
33,할인,1
33,휴식,1
33,ㅆ,1
33,최고,2
33,불성실,-1
33,신경질,-1
33,짜증,-2
33,여유,1
33,정,1
35,친절,2
35,불만,-2
35,마이너스,-2
35,최악,-2
35,개선,2
35,최고,2
35,여유,1
35,인기,1
35,맛,2
35,기대,1
35,짐,-1
35,가치,1
35,인정,1
35,겁,-1
36,최고,2
36,멋,2
37,최고,2
37,친절,2
37,고급,2
38,창피,-2
40,최고,2
40,맛,2
40,기대,1
40,실망,-2
40,ㅠ,-1
40,필수,1
40,협박,-2
40,미안,-1
40,개성,1
40,손해,-2
40,편안,2
40,해,-2
40,ㅜ,-1
40,정,1
40,빚,-2
40,고작,-1
40,못,0
41,최고,2
43,맛,2
43,친구,1
43,정,1
43,만족,2
43,화가,-2
43,최고,2
43,기대,1
43,부족,-1
46,최고,2
52,최고,2
52,친절,2
57,최고,2
58,최고,2
58,피,0
61,최고,2
62,최고,2
65,죽음,-1
65,최고,2
72,최고,2
72,친절,2
72,득,2
72,최악,-2
72,기대,1
72,세일,1
72,맛,2
72,부자,1
72,짐,-1
74,최고,2
75,품격,1
75,정,1
75,강추,2
77,최고,2
81,친절,2
82,불편,-2
86,불편,-2
93,최고,2
95,짐,-1
95,장점,2
96,최고,2
97,최고,2
97,감사,2
97,아쉬움,-1
97,사랑,2
97,노름,-1
97,부자,1
97,조화,2
97,아름다움,2
97,정,1
97,지옥,-2
97,환상,-2
97,여유,1
97,멋,2
97,불만,-2
97,장애인,-2
97,살인,-1
98,최고,2
98,감사,2
98,아쉬움,-1
98,사랑,2
98,노름,-1
98,부자,1
98,조화,2
98,아름다움,2
98,정,1
98,지옥,-2
98,환상,-2
98,여유,1
98,멋,2
98,불만,-2
98,장애인,-2
98,살인,-1
105,최고,2
106,최고,2
106,멋,2
106,재미,2
109,최고,2
110,최고,2
118,비추,-2
120,ㅠ,-1
120,할인,1
120,낭비,-1
120,실망,-2
120,최고,2
121,만족,2
121,정,1
121,후회,-2
121,고급,2
121,친구,1
121,최고,2
121,강추,2
121,해,-2
121,친절,2
121,기대,1
121,맛,2
121,감사,2
121,유명,1
121,실망,-2
121,부족,-1
121,윤기,1
122,최고,2
124,맛,2
124,친절,2
124,만족,2
124,감사,2
124,가치,1
124,강추,2
124,최고,2
124,친구,1
124,편리,2
124,아픔,-2
124,짜증,-2
124,짐,-1
125,한숨,-1
125,최악,-2
125,친절,2
125,불만족,-2
125,ㅠ,-1
125,멋,2
126,최고,2
126,친절,2
129,맛,2
129,여유,1
129,대접,1
129,최고,2
129,친절,2
129,필수,1
129,부족,-1
134,부족,-1
134,최고,2
134,실수,-1
134,화,-2
134,부담,-2
134,친구,1
134,정,1
134,친절,2
134,만족,2
135,최고,2
136,최고,2
136,맛,2
136,욕,-2
136,친절,2
136,기대,1
136,최악,-2
137,최고,2
137,걱정,-2
137,맛,2
137,행복,2
137,ㅠ,-1
137,저급,-1
137,인정,1
137,아쉬움,-1
137,기대,1
137,어려움,-2
137,강추,2
137,실망,-2
137,가치,1
137,짜증,-2
137,마이너스,-2
137,최악,-2
137,질색,-2
141,친절,2
145,낭비,-1
145,최고,2
145,최악,-2
145,만족,2
145,탈,-1
145,행복,2
146,최고,2
149,고함,-1
149,최고,2
151,최악,-2
151,ㅉ,-1
152,최고,2
152,만족,2
152,맛,2
153,최고,2
154,짐,-1
154,최고,2
154,창,-1
154,욕,-2
154,가치,1
155,짐,-1
155,최고,2
155,창,-1
155,욕,-2
155,가치,1
158,최고,2
160,최고,2
160,감탄,2
161,최고,2
164,최고,2
164,정상,1
164,친구,1
164,휴식,1
164,안전,2
164,도움,1
164,보람,1
164,흥미,1
164,감동,2
171,안전,2
171,최고,2
171,친절,2
173,ㅜ,-1
174,친절,2
174,짐,-1
174,최고,2
174,재미,2
174,맛,2
174,만족,2
174,부담,-2
174,수선,-1
174,불만,-2
175,최고,2
175,마약,-1
175,맛,2
175,최악,-2
175,빈대,-2
175,친절,2
175,정,1
175,못,0
175,욕,-2
175,거짓말,-2
175,기대,1
175,수선,-1
175,충격,-1
175,실망,-2
175,행복,2
175,인정,1
175,부지런,2
175,진리,1
175,운,1
175,짐,-1
175,연애,1
175,완성,1
175,멋,2
175,ㅠ,-1
175,열광,2
175,해,-2
175,망신,-2
175,불편,-2
175,ㅉ,-1
176,개성,1
176,믿음,1
176,감사,2
176,만족,2
176,진리,1
176,고급,2
176,칭찬,2
176,행복,2
176,불편,-2
176,신뢰,1
176,강추,2
176,전문가,1
179,최고,2
180,사랑,2
180,최고,2
180,친구,1
180,불편,-2
180,욕,-2
180,안심,1
180,만족,2
180,빛,1
180,ㅆ,1
181,필수,1
182,해,-2
182,최고,2
182,불편,-2
182,ㅠ,-1
182,강추,2
182,여유,1
182,우울,-2
182,친구,1
184,인정,1
184,친절,2
184,만족,2
184,최고,2
184,짐,-1
184,친구,1
184,최악,-2
184,정,1
184,강추,2
187,친절,2
187,해,-2
187,최상급,2
187,강추,2
189,친절,2
189,최고,2
189,ㅠ,-1
189,맛,2
189,부담,-2
197,최악,-2
197,허,-2
197,환상,-2
197,할인,1
198,최고,2
199,강추,2
199,여유,1
201,강추,2
201,편안,2
203,미소,2
203,친구,1
205,최고,2
205,고통,-2
206,최고,2
206,친절,2
206,감사,2
209,불편,-2
210,최고,2
210,기대,1
210,낭비,-1
211,최고,2
211,보람,1
211,재미,2
211,강추,2
212,머저리,-2
212,최고,2
212,앞잡이,-1
212,해,-2
212,감사,2
212,필수,1
212,휴식,1
