,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
0,50,57,100,38,23,11,10,4,6,0,0,0
1,60,100,53,36,27,34,35,26,26,17,12,19
2,13,16,12,12,7,12,19,16,38,100,23,24
3,90,0,100,100,0,0,0,0,50,0,0,0
4,84,100,94,55,62,55,66,60,60,58,53,69
5,85,100,54,40,15,18,32,27,33,41,32,26
6,91,76,78,83,84,82,85,92,100,72,87,90
7,8,0,0,0,0,0,0,0,0,100,8,8
8,81,100,90,60,52,58,69,56,72,58,46,70
9,56,100,23,0,0,3,8,4,5,0,0,0
10,73,100,40,32,19,26,27,23,30,18,7,17
11,76,83,88,82,94,95,96,89,100,92,94,87
12,81,100,69,53,35,26,53,35,18,22,10,40
13,80,84,91,89,100,87,86,74,99,82,83,81
14,61,100,47,54,37,30,27,28,43,50,66,33
15,79,100,51,25,24,27,22,25,22,22,26,78
16,12,10,9,6,18,9,100,14,13,14,8,12
17,15,15,19,12,34,40,74,100,60,40,45,42
18,57,52,41,32,45,63,79,41,42,26,27,100
19,21,0,21,57,39,79,89,100,21,0,18,21
20,100,38,70,61,24,56,39,36,48,51,15,32
21,49,44,100,81,17,20,16,9,13,43,29,9
22,49,44,100,81,18,21,17,10,13,43,29,10
23,50,45,100,81,19,65,18,11,15,44,30,11
24,85,93,100,46,28,33,36,30,29,29,22,26
25,75,100,82,45,52,43,45,43,70,43,27,48
26,100,67,62,33,20,22,38,38,59,30,25,83
27,74,73,82,78,94,97,89,86,90,97,100,96
28,73,73,84,80,98,100,88,83,77,73,82,76
29,9,13,12,18,8,6,6,13,15,9,40,100
30,73,100,49,28,23,12,21,21,29,30,15,37
31,100,0,0,0,0,0,0,0,100,0,0,0
32,60,90,100,33,24,22,21,13,17,28,13,22
33,45,100,78,44,0,15,52,23,65,65,38,50
34,32,61,56,32,37,53,74,100,74,66,35,35
35,44,17,15,12,75,78,77,57,57,33,87,100
36,71,74,77,64,80,70,61,51,52,64,100,74
37,64,100,75,52,41,42,47,38,45,42,44,52
38,87,85,80,98,82,84,90,100,99,91,88,80
39,34,31,35,27,49,59,32,33,39,100,62,37
40,79,79,97,63,60,93,100,86,77,69,94,73
41,53,56,51,51,100,90,85,79,82,53,60,67
42,26,31,100,61,28,29,32,24,29,22,23,33
43,45,55,59,61,64,62,70,72,76,79,100,96
44,30,38,41,41,51,54,100,60,65,69,89,82
45,57,69,79,74,71,75,82,81,83,83,100,99
46,48,58,62,63,66,65,72,74,77,80,100,97
47,47,58,62,63,66,65,72,73,76,80,100,97
48,48,59,62,63,67,65,72,73,77,94,100,97
49,49,58,62,63,66,64,72,73,77,80,100,96
50,41,48,51,52,57,56,60,63,71,73,100,92
51,45,56,60,62,65,63,71,72,76,80,100,97
52,45,56,60,62,65,63,71,72,77,81,100,96
53,45,56,59,61,65,64,71,72,77,80,100,97
54,45,55,59,61,64,62,70,72,76,80,100,97
55,57,62,67,73,68,64,73,73,76,83,100,98
56,45,55,59,61,64,62,70,72,76,80,100,97
57,45,55,59,61,64,62,70,72,76,80,100,97
58,49,58,62,63,67,65,72,73,77,82,100,97
59,49,61,65,65,67,66,73,74,78,81,100,97
60,73,75,73,79,88,82,86,83,84,86,100,98
61,45,55,60,61,64,63,70,72,76,80,100,97
62,55,62,65,68,73,72,77,80,89,89,100,97
63,60,67,70,71,76,77,81,82,83,87,100,97
64,64,62,66,68,84,79,81,82,85,89,99,100
65,61,69,70,72,80,78,83,83,86,88,100,99
66,45,55,59,61,64,62,70,72,76,80,100,97
67,2,2,2,0,0,0,3,100,6,5,0,0
68,15,8,16,100,2,0,37,21,10,5,28,29
69,19,10,19,8,2,43,100,32,84,42,42,17
