tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
1,13,31,47,13,2.5769,3,104,2020-10-21 10:00:00
2,43,32,45,14,2.2239,3,134,2020-10-21 10:00:00
3,10,7,1,0,1.5,1,18,2020-10-21 10:00:00
4,18,36,87,17,2.6519,3,158,2020-10-21 10:00:00
5,40,40,60,14,2.3117,3,154,2020-10-21 10:00:00
6,32,29,58,8,2.3307,3,127,2020-10-21 10:00:00
7,41,25,51,5,2.1639,3,122,2020-10-21 10:00:00
8,5,42,95,22,2.8171,3,164,2020-10-21 10:00:00
9,41,34,45,14,2.2388,3,134,2020-10-21 10:00:00
10,33,36,36,13,2.2458,2,118,2020-10-21 10:00:00
11,16,61,101,21,2.6382,3,199,2020-10-21 10:00:00
12,7,27,40,8,2.5976,3,82,2020-10-21 10:00:00
13,5,24,33,5,2.5672,3,67,2020-10-21 10:00:00
14,17,62,105,19,2.6207,3,203,2020-10-21 10:00:00
15,4,20,20,10,2.6667,2,54,2020-10-21 10:00:00
16,8,34,36,10,2.5455,3,88,2020-10-21 10:00:00
17,4,39,60,26,2.8372,3,129,2020-10-21 10:00:00
18,16,24,58,17,2.6609,3,115,2020-10-21 10:00:00
19,8,52,85,26,2.7544,3,171,2020-10-21 10:00:00
20,5,30,40,23,2.8265,3,98,2020-10-21 10:00:00
21,11,55,77,24,2.6826,3,167,2020-10-21 10:00:00
22,14,29,62,13,2.6271,3,118,2020-10-21 10:00:00
23,25,39,53,12,2.4031,3,129,2020-10-21 10:00:00
24,38,29,33,13,2.1858,1,113,2020-10-21 10:00:00
25,20,30,39,15,2.4712,3,104,2020-10-21 10:00:00
26,2,22,47,9,2.7875,3,80,2020-10-21 10:00:00
27,11,30,67,10,2.6441,3,118,2020-10-21 10:00:00
28,11,25,48,10,2.6064,3,94,2020-10-21 10:00:00
29,17,28,65,14,2.6129,3,124,2020-10-21 10:00:00
30,3,22,44,5,2.6892,3,74,2020-10-21 10:00:00
31,6,32,42,6,2.5581,3,86,2020-10-21 10:00:00
32,43,17,36,9,2.1048,1,105,2020-10-21 10:00:00
