,tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
1000,1001,53,40,48,18,2.195,1,159,2020/10/14 14:28
1001,1002,0,15,28,5,2.7917,3,48,2020/10/14 14:28
1002,1003,16,6,16,2,2.1,1,40,2020/10/14 14:28
1003,1004,7,16,28,5,2.5536,3,56,2020/10/14 14:28
1004,1005,16,9,18,3,2.1739,3,46,2020/10/14 14:28
1005,1006,13,26,43,12,2.5745,3,94,2020/10/14 14:28
1006,1007,18,49,89,32,2.7181,3,188,2020/10/14 14:28
1007,1008,11,16,38,10,2.6267,3,75,2020/10/14 14:28
1008,1009,40,24,14,2,1.725,1,80,2020/10/14 14:28
1009,1010,20,15,32,5,2.3056,3,72,2020/10/14 14:28
1010,1011,14,33,44,35,2.7937,3,126,2020/10/14 14:28
1011,1012,16,45,67,28,2.6859,3,156,2020/10/14 14:28
1012,1013,30,45,91,24,2.5737,3,190,2020/10/14 14:28
1013,1014,1,14,51,16,3.0,3,82,2020/10/14 14:28
1014,1015,6,27,41,7,2.6049,3,81,2020/10/14 14:28
1015,1016,8,29,46,7,2.5778,3,90,2020/10/14 14:28
1016,1017,4,20,85,21,2.9462,3,130,2020/10/14 14:28
1017,1018,2,40,78,27,2.8844,3,147,2020/10/14 14:28
1018,1019,30,47,109,28,2.6308,3,214,2020/10/14 14:28
1019,1020,21,10,18,11,2.3167,1,60,2020/10/14 14:28
1020,1021,21,10,16,11,2.2931,1,58,2020/10/14 14:28
1021,1022,0,14,43,8,2.9077,3,65,2020/10/14 14:28
1022,1023,6,42,79,20,2.7687,3,147,2020/10/14 14:28
1023,1024,2,31,76,28,2.9489,3,137,2020/10/14 14:28
1024,1025,19,22,65,25,2.7328,3,131,2020/10/14 14:28
1025,1026,16,25,86,34,2.8571,3,161,2020/10/14 14:28
1026,1027,27,49,31,7,2.1579,2,114,2020/10/14 14:28
1027,1028,0,14,39,3,2.8036,3,56,2020/10/14 14:28
1028,1029,25,36,50,8,2.3445,3,119,2020/10/14 14:28
1029,1030,33,27,47,18,2.4,3,125,2020/10/14 14:28
1030,1031,11,27,33,9,2.5,3,80,2020/10/14 14:28
1031,1032,21,34,56,11,2.4672,3,122,2020/10/14 14:28
1032,1033,45,21,38,4,2.0093,1,108,2020/10/14 14:28
1033,1034,1,16,50,18,3.0,3,85,2020/10/14 14:28
1034,1035,15,20,45,16,2.6458,3,96,2020/10/14 14:28
1035,1036,5,12,22,6,2.6444,3,45,2020/10/14 14:28
1036,1037,0,5,13,0,2.7222,3,18,2020/10/14 14:28
1037,1038,11,18,37,4,2.4857,3,70,2020/10/14 14:28
1038,1039,15,45,91,15,2.6386,3,166,2020/10/14 14:28
1039,1040,41,8,7,2,1.4828,1,58,2020/10/14 14:28
1040,1041,21,34,92,37,2.788,3,184,2020/10/14 14:28
1041,1042,23,36,74,12,2.5172,3,145,2020/10/14 14:28
1042,1043,13,45,51,22,2.626,3,131,2020/10/14 14:28
1043,1044,11,15,13,2,2.1463,2,41,2020/10/14 14:28
1044,1045,9,18,36,7,2.5857,3,70,2020/10/14 14:28
1045,1046,9,18,36,7,2.5857,3,70,2020/10/14 14:28
1046,1047,9,18,37,7,2.5915,3,71,2020/10/14 14:28
1047,1048,7,27,51,8,2.6452,3,93,2020/10/14 14:28
1048,1049,36,34,46,14,2.2923,3,130,2020/10/14 14:28
1049,1050,7,30,98,26,2.8882,3,161,2020/10/14 14:28
1050,1051,4,22,88,23,2.9489,3,137,2020/10/14 14:28
1051,1052,19,18,27,8,2.3333,3,72,2020/10/14 14:28
1052,1053,25,41,94,32,2.6927,3,192,2020/10/14 14:28
1053,1054,26,22,31,1,2.0875,3,80,2020/10/14 14:28
1054,1055,16,32,108,30,2.8172,3,186,2020/10/14 14:28
1055,1056,14,26,106,37,2.9071,3,183,2020/10/14 14:28
1056,1057,7,34,75,32,2.8919,3,148,2020/10/14 14:28
1057,1058,2,28,67,19,2.8879,3,116,2020/10/14 14:28
1058,1059,20,19,19,6,2.1719,1,64,2020/10/14 14:28
1059,1060,24,33,55,27,2.6115,3,139,2020/10/14 14:28
1060,1061,3,2,3,0,2.0,1,8,2020/10/14 14:28
1061,1062,16,46,92,15,2.6272,3,169,2020/10/14 14:28
1062,1063,2,32,78,29,2.9504,3,141,2020/10/14 14:28
1063,1064,41,40,36,7,2.0726,1,124,2020/10/14 14:28
1064,1065,20,5,4,2,1.6129,1,31,2020/10/14 14:28
1065,1066,16,46,92,15,2.6272,3,169,2020/10/14 14:28
1066,1067,7,31,42,22,2.7745,3,102,2020/10/14 14:28
1067,1068,13,31,118,38,2.905,3,200,2020/10/14 14:28
1068,1069,3,9,30,6,2.8125,3,48,2020/10/14 14:28
1069,1070,33,37,102,41,2.7089,3,213,2020/10/14 14:28
1070,1071,8,25,67,10,2.7182,3,110,2020/10/14 14:28
1071,1072,26,25,26,8,2.1882,1,85,2020/10/14 14:28
1072,1073,26,25,26,8,2.1882,1,85,2020/10/14 14:28
1073,1074,26,25,26,8,2.1882,1,85,2020/10/14 14:28
1074,1075,1,12,47,17,3.039,3,77,2020/10/14 14:28
1075,1076,4,22,51,14,2.8242,3,91,2020/10/14 14:28
1076,1077,20,23,38,16,2.5155,3,97,2020/10/14 14:28
1077,1078,28,33,48,12,2.3636,3,121,2020/10/14 14:28
1078,1079,15,6,5,0,1.6154,1,26,2020/10/14 14:28
1079,1080,15,6,5,0,1.6154,1,26,2020/10/14 14:28
1080,1081,1,16,61,21,3.0303,3,99,2020/10/14 14:28
1081,1082,1,16,54,17,2.9886,3,88,2020/10/14 14:28
1082,1083,32,37,107,40,2.7176,3,216,2020/10/14 14:28
1083,1084,33,37,106,32,2.6587,3,208,2020/10/14 14:28
1084,1085,1,21,88,22,2.9924,3,132,2020/10/14 14:28
1085,1086,20,34,54,25,2.6316,3,133,2020/10/14 14:28
1086,1087,15,25,91,36,2.8862,3,167,2020/10/14 14:28
1087,1088,16,37,94,15,2.6667,3,162,2020/10/14 14:28
1088,1089,42,39,49,3,2.0977,3,133,2020/10/14 14:28
1089,1090,14,10,36,9,2.5797,3,69,2020/10/14 14:28
1090,1091,20,19,26,6,2.2535,3,71,2020/10/14 14:28
1091,1092,47,41,54,18,2.2687,3,160,2020/10/14 14:28
1092,1093,37,35,53,10,2.2667,3,135,2020/10/14 14:28
1093,1094,9,18,29,3,2.4407,3,59,2020/10/14 14:28
1094,1095,47,15,35,18,2.2087,1,115,2020/10/14 14:28
1095,1096,20,57,77,18,2.5407,3,172,2020/10/14 14:28
1096,1097,13,28,36,4,2.3827,3,81,2020/10/14 14:28
1097,1098,26,47,94,31,2.6566,3,198,2020/10/14 14:28
1098,1099,10,15,27,2,2.3889,3,54,2020/10/14 14:28
