tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
18001,0,0,0,0,0.0,0,0,
18002,44,91,119,39,2.5222,3,293,2020/10/15 14:09
18003,3,0,1,0,1.5,1,4,2020/10/15 14:09
18004,0,0,0,0,0.0,0,0,
18005,15,1,0,0,1.0625,1,16,2020/10/15 14:09
18006,39,7,2,0,1.2292,1,48,2020/10/15 14:09
18007,38,20,12,4,1.7568,1,74,2020/10/15 14:09
18008,2,0,0,0,1.0,1,2,2020/10/15 14:09
18009,10,0,0,0,1.0,1,10,2020/10/15 14:09
18010,37,12,5,2,1.5,1,56,2020/10/15 14:09
18011,10,0,0,0,1.0,1,10,2020/10/15 14:09
18012,44,12,24,5,1.8824,1,85,2020/10/15 14:09
18013,20,6,2,0,1.3571,1,28,2020/10/15 14:09
18014,17,3,2,0,1.3182,1,22,2020/10/15 14:09
18015,2,0,0,0,1.0,1,2,2020/10/15 14:09
18016,26,23,9,0,1.7069,1,58,2020/10/15 14:09
18017,90,156,164,67,2.4361,3,477,2020/10/15 14:09
18018,145,227,347,117,2.5215,3,836,2020/10/15 14:09
18019,9,1,0,0,1.1,1,10,2020/10/15 14:09
18020,28,5,7,2,1.5952,1,42,2020/10/15 14:09
18021,0,0,0,0,0.0,0,0,
18022,6,0,0,0,1.0,1,6,2020/10/15 14:09
18023,11,2,1,0,1.2857,1,14,2020/10/15 14:09
18024,10,0,0,0,1.0,1,10,2020/10/15 14:09
18025,6,0,0,0,1.0,1,6,2020/10/15 14:09
18026,0,0,0,0,0.0,0,0,
18027,15,3,1,1,1.4,1,20,2020/10/15 14:09
18028,4,0,0,0,1.0,1,4,2020/10/15 14:09
18029,8,2,0,0,1.2,1,10,2020/10/15 14:09
18030,26,4,1,0,1.1935,1,31,2020/10/15 14:09
18031,26,4,1,0,1.1935,1,31,2020/10/15 14:09
18032,8,0,0,0,1.0,1,8,2020/10/15 14:09
18033,85,91,64,11,2.004,2,251,2020/10/15 14:09
18034,8,0,0,0,1.0,1,8,2020/10/15 14:09
18035,7,2,0,0,1.2222,1,9,2020/10/15 14:09
18036,6,0,0,0,1.0,1,6,2020/10/15 14:09
18037,0,0,0,0,0.0,0,0,
18038,0,0,0,0,0.0,0,0,
18039,8,0,2,0,1.4,1,10,2020/10/15 14:09
18040,2,0,0,0,1.0,1,2,2020/10/15 14:09
18041,0,0,0,0,0.0,0,0,
18042,66,19,1,1,1.2759,1,87,2020/10/15 14:09
18043,27,1,0,0,1.0357,1,28,2020/10/15 14:09
18044,0,0,0,0,0.0,0,0,
18045,8,0,0,0,1.0,1,8,2020/10/15 14:09
18046,12,0,0,0,1.0,1,12,2020/10/15 14:09
18047,103,123,83,17,2.0429,2,326,2020/10/15 14:09
18048,15,9,0,0,1.375,1,24,2020/10/15 14:09
18049,11,1,0,0,1.0833,1,12,2020/10/15 14:09
18050,0,0,0,0,0.0,0,0,
18051,0,0,0,0,0.0,0,0,
