tour_id,title,comments,ratings,date
16055,일자르디노펜션,이곳은 늦가을  에서  초겨울이   제대로다   산끝 바베큐장에서 바라보는  전경이   정말  끝내준다  또 이름모를 허브냄새가  환상적이다.  시설은  가격대비 별로다   프로 여행객인 본인은 불편하지 않았다,5,2020.09.20
16055,일자르디노펜션,옆집이랑 벽하나 막아놔서 방음하나도 안댐 술마시고 떠드는소리 땜에 짱남,1,2018.05.26
16055,일자르디노펜션,조금 아쉬워요,2,2016.08.03
16055,일자르디노펜션,보통이에요,3,2016.05.10
16055,일자르디노펜션,하동 일쟈르디노펜션,0,2015.02.14
16055,일자르디노펜션,팬션,0,2014.04.26
16055,일자르디노펜션,바베큐켐핑장,0,2014.03.20
16055,일자르디노펜션,하동펜션에 봄마중 왔다..,0,2014.03.03
16055,일자르디노펜션,사진보다 멋진곳 흔치않아요 꽃피는춘삼월에 하동에오신다면 꼭들러야할곳 맛있는 음식은 뽀~~~너스,0,2014.02.06
16055,일자르디노펜션,겨울에 먹는 화전! 어떤 맛일까?,0,2014.01.05
16055,일자르디노펜션,비어캔치킨 훈제바베큐 생각나요 우유로 만든 리코타치즈 셀러드까지 분위기있는 카페~♥,0,2013.11.25
16055,일자르디노펜션,멋진정원에 동화 속 집 같은곳,0,2013.11.12
16055,일자르디노펜션,숙박료 10% 할인과  바베큐A세트를 무조건 쏩니다. 기간:오늘부터 11월 말까지 대상:기간 중 숙박자 장소:일자르디노  제가 미쳤나봐요...ㅠㅠ www.ilgiardino.kr,0,2013.11.12
16055,일자르디노펜션,바베큐가 맜있고 멋있는 펜션 입니다,0,2013.11.12
16055,일자르디노펜션,내가  좋아하는  펜션,0,2013.11.12
16055,일자르디노펜션,정말 아름답고 음식이 최고예요,0,2013.11.12
16055,일자르디노펜션,일자르디노 완전 굿~ 가보셔야 할 펜션이예요.,0,2013.11.12
16055,일자르디노펜션,별로예요,1,2018.11.04
16055,일자르디노펜션,10점만점에 10점,5,2016.09.03
16056,일다게스트하우스,옥상에서 보는 강구안 뷰가 정말 좋아요 게하 내부는 사진보다 괜찮았어요,4,2019.03.03
