tour_id,title,overview
10002,태기산,"
                    횡성군 둔내면, 평창군 봉평면의 경계를 이루는 산으로 진한의 마지막 왕인 태기왕이 신라군에 쫓겨 태기산성(1.8km)을 쌓고 신라군과 대치하였다는 전설이 있으며 그 성터가 아직도 남아 있는 곳
                "
10003,태기산막국수,"
                    안녕하세요. 원주 대표 맛집, 태기산막국수 입니다.친절한 서비스와 정갈한 음식을 제공할 것을 약속드립니다. 언제든지 방문해주세요. 감사합니다.
                "
10004,태기산풍력발전단지,
10005,태능숯불갈비,
10007,태백 고생대자연사박물관,"
                    고생대 자연환경과 그 곳에 살았던 생물역사를 추적할 수 있는 다양한 화석 및 퇴적구조를 구문소지역 일대에서 체험학습을 겸한 교육효과 향상과 학자들의 자연사 연구에 기여하고자 고생대자연사박물관을 건립하게 되었다.
                "
10009,강원태백라마다호텔,
10010,태백 상장동벽화마을,
10012,태백장명사목불좌상,"
                    2003년 12월 태백시 시도유형문화재 제114호 지정
                "
10015,철암역두 선탄시설,"
                    국가지정 중요민속자료 제21호, 우리나라 근대산업사의 상징적으로 중요한 선탄시설
                "
10016,추전역,
10017,태백고원자연휴양림,"
                    해발 700m이상의 고원의 숲속에서 사계절 아름다운 자연과 편안한 쉼터 역할을 하기 위해 만들어진 곳
                "
10019,태백닭갈비 본점,"
                    안녕하세요. 

태백시는 과거의 광산지역이였습니다.
광산의 종사했던 광부들과 그당시 지역분들이 
즐겨먹던 음식이 바로 태백 닭갈비였는데
지금까지 많은사랑을 받으며 태백의명물로 자리잡게되었습니다.
그때부터 태백의 대표적인 음식으로 발돋움을 하였으며 지금까지 많은사랑을 받고있는 태백닭갈비의 유래입니다.

한끼의 식사가아닌 전통이 함께하는 우리 태백닭갈비집과 함께
태백의맛집을 느껴보시길바랍니다.
감사합니다.
                "
10020,태백문화원,
10021,태백산국립공원,
10022,태백산석장승,"
                    태백산맥으로 오르는 길 양쪽에 서 있는 2기의 돌장승
                "
10023,태백산 천제단가는길,
10025,태백석탄박물관,"
                    태백석탄박물관은 1997년 5월 27일 개관하였다. 태백산 도립 공원 내에 위치하며, 우리나라의 주요 에너지 자원이었던 석탄의 모든 것을 한곳에 모아 일목요연하게 전시하는 곳이다. 석탄의 탄생과 석탄산업의 발전, 태백의 희귀광석 그리고 고생대에서 현재까지의 역사변천사를 관람객의 입장을 고려하여 자동모니터를 이용, 이해를 빠르게 하고 있다. 7개의 실내 전시실과 지하전시실 1개, 옥외 야외 전시실 각 2개등을 갖춘 석탄박물관으로 규모면에서 세계최대이다. 특수 엘리베이터를 이용하여 빠른 속도로 실제 수직갱 1,000m를 내려가는 효과를 연출하며 갱도내에서의 붕락사고 위험을 가상 체험할수 있도록 하여 보는 것 뿐 만 아니라 직접 체험할 수 있는 시설을 갖추고 있다. 기존 전시관의 전시 방식에서 탈피, 도입부에서부터 동적인 분위기를 유도하고, 주 관람 대상인 청소년 및 저학년 아동들의 심리와 행동특징 등을 고려하여 관람시설을 제작하였다.
                "
10026,태백문화예술회관,
10027,태백으뜸한우촌,
10028,태백체험공원,"
                    폐갱도를 활용한 석탄의 역사가 살아 숨쉬는 체험 공간
                "
10029,태백한우골,
10030,태봉농장가든,
10031,태생파크,
10032,태양모텔,
10034,태양의후예 태백세트장,
10035,태영생막창 독산점,
10036,태장동 왕녀복란태실비,"
                    조선 제9대왕 성종의 딸 복란의 태를 묻었던 곳.유형문화재 제66호
                "
10037,태장삼겹살,
10038,태종대,
10039,태창복장사,
10040,태화산 고씨동굴,
10041,터득골북샵,
10042,테라로사 커피공장,
10043,테마모텔,
10044,텔콘채록지,
10045,토교저수지,"
                    토교저수지는 일명 전천후보로 불리는 대규모 인공저수지로 과거 진촌, 신대, 길동 마을이 수몰되며 형성되었는데 사기막과 송내동에서 유입되는 맑은 물로 빼어난 호수경관을 형성하고 있어 신철원 8경으로도 지정되어 있다.양지리, 대위리, 장흥리, 오덕리 일대 농경지에 관수되고 있으며 제2땅굴 진입로변에 위치, 이곳을 찾는 안보관광객들의 탄성을 자아낸다. 또한 내수면 어족자원의 개발로 지금은 '물반 고기반' 이라는 별칭도 있는 생태계의 보고인 동시에 철원군의 자랑이다.
                "
10047,토담화로구이,"
                    NO.1 춘천맛집 유명한곳, 고추장양념삼겹살, 풍부한 육즙, 깊은양념맛이 일품.화로구이 전문점, 고추장 양념삼겹살, 돼지갈비, 이동갈비, 더덕구이 등 판매. 더덕양념삼겹살(200g 12,000원) 양념삼겹살,생삼겹살(200g 각10,000원) 돼지갈비(300g 9,000원) 소갈빗살(150g 10,000원)
                "
10048,철원토성 민속마을,
10049,토왕성폭포,"
                    설악산을 대표하는 3대 폭포 가운데 하나인 토왕성폭포. 신광폭포,토왕폭 이라고도 한다.
"
10050,한국 토요칼라,
10051,강원정보문화진흥원 토이로봇관,"
                    로봇산업의 성장 가능서을 알리기 위한 체험 전시관
                "
10052,토지문화재단,
10054,통나무대금산장,
10055,딴뚝통나무집식당,"
                    태안군 대표 맛집, 안면도 게국지 원조집, 꽃게요리 전문점, 간장게장, 양념게장.40년 전통 안면도 게국지 원조집, KBS, MBC, SBS 등 각종 방송출연.
                "
10056,통리게스트하우스,
10058,강릉통일공원 함정전시관,
10059,통일안보공원,
10060,퇴계막국수,"
                    춘천시 퇴계동에 위치하여 3대에 걸쳐 운영하고 있는 전문음식점
                "
10061,티라미스펜션,
10062,티오피모텔,
10063,티파니모텔,
10064,파로호안보전시관,"
                    파로호 역사관은 파로호 전투에 대해 소상히 기록하고 있으며, 6.25 당시 중공군 3개 사단을 섬멸하고 화천댐을 사수한 국군 제6사단 휴게시설과 북한실상 및 파로호전사 등의 소개시설을 갖추고 있으며 위쪽 동산에 전망대가 있어 파로호를 한눈에 조망할 수 있다.
                "
10065,파로호,
10066,파로호,
10067,파서탕,
10068,함흥골,
10069,파인밸리,
10070,파인비치,
10071,파프리카펜션 레드,
10072,판대천,"
                    경기도와 경계지역으로 간현 국민관광지의 상류지역에 위치하며 삼산천을 흐르는 강물과 주변의 백사장, 기암과 산세가 수려한 조화가 특징이고 백사장에서 물놀이와 야영을 할 수 있다.
                "
10073,양구 팔랑민속관,
10074,팔랑폭포,"
                    팔랑초등학교에서 조금 떨어진 앞산 기슭에 깊숙이 발달한 팔랑폭포는 그다지 높지는 않지만 수량이 풍부하여 시원스럽다. 폭포 아래로는 깊고 푸르른 팔랑소가 출렁이고 사방은 암벽에 에워싸여 있어 신비스러운 분위기를 더해 준다. 폭포위의 암벽에는 300년 이상 묵은 노송 한그루가 우뚝 솟아 있어 폭포의 아름다운 자태를 한층 더해주고 있다.
                "
