tour_id,title,overview
3059,중국성,
3060,지선사,
3062,짜장면박물관,
3064,책방시점,
3067,철종외가,"
                    조선 철종의 외숙 염보길이 살던 집
                "
3068,청강횟집,"
                    전통을 자랑하는 밴댕이회 전문점
                "
3069,청관,"
                    백짬뽕으로 유명한 중화요리 전문점
                "
3070,청라스파렉스,
3071,청라호수공원,
3072,청라호수도서관,
3073,청련사,"
                    고구려 장수와 4년(서기416년)병진해 천축조사께서 개산창건하고 청련사라 게액했다.
                "
3074,청송오리,
3075,청수암,"
                    대한불교 조계종 청수암절
                "
3076,청주보쌈,
3077,청학동외국인묘지,
3078,초심스터디카페 본사,
3079,강화초지대교,
3080,촌집보쌈,
3081,인천미림극장,"
                    인천 최초 고전영화관이자 독립예술영화전용관
                "
3082,춘희네맛있는약속 장충동왕족발,
3083,충남서산꽃게집,
3084,충렬사,
3085,취선,
3086,취홍,
3087,팟알,"
                    일본식 목조건물이 돋보이는 카페전문점
                "
3088,히스토리(history),
3089,카페잠진도길28,
3090,카페힐로,
3091,칼튼모텔,
3092,퀸스비치글램핑펜션,
3093,구월동밴댕이골목,"
                    굵은 왕소금을 뿌려서 간을 한 밴댕이 구이나 매운맛이 일품인 밴댕이 회무침이 맛있는 곳
                "
3094,큰나무펜션,
3095,큰무리어촌체험마을,
3096,큰풀안해변,"
                    인천 옹진군 자월면 이작리 대이작도에 위치한 해수욕장
                "
3097,태림봉,"
                    유슬자장면, 점심메뉴인 사천자장으로 유명한 고급화된 정통 중화요리식당 태림봉입니다. 센스있는 세트 메뉴로 저렴하게 다양한 종류의 중식을 맛보실 수 있습니다.
                "
3098,태림산장,
3099,태양의해변펜션,"
                    강화도 태양의해변 펜션은 서해의 대자연과 하나된 최신 유럽형 리조트스타일의 럭셔리한 스파펜션 입니다.서해바다를 바라보며 즐길 수 있는 실내수영장, 온수수영장시설, 노천스위밍스파, 전객실 실내스파설치, 전객실 개별바베큐 가능한 편의성과 아름다운 경치를 자랑하고 있습니다.월요일~목요일 까지 방문해 주시는 고객님께는 무료로 승마체험을 하실 수 있습니다.
                "
3100,태원에이엠,
3101,태화원,"
                    국내 유일의 채식중화요리를 맛볼 수 있는 중화요리 전문점 태화원입니다. 항상 신선한 재료만을 엄선하여 조리하고 있으며 다양한 코스요리를 맛 보실 수 있습니다. 깔끔한 내부 인테리어로 더욱 즐거운 시간을 보내실 수 있습니다.
                "
3102,토가,
3103,토담마을,
3104,토담식당,
3105,토크라피,
3106,통나무집펜션,
3107,새옷처럼내옷처럼,
3108,통일호,
3109,파라다이스시티 씨메르,
3110,파크마린호텔,
3111,팔미도유람선,
3112,인천지방해양수산청 팔미도항로표지관리소,"
                    인천시 유형문화재 제40호, 우리나라 최초의 등대
                "
3113,편가네된장,"
                    콩으로 만든 음식들을 제공하는 향토음식 전문점입니다. 짜지않고 깊은 맛을 느낄수 있는 차별화된 웰빙된장을 곁들인 비빔밥과 직접 만든 손두부 보쌈을 드실 수 있습니다.
                "
3114,평양옥,"
                    평양냉면 전문
                "
3115,평양옥,"
                    평양냉면 전문
                "
3116,포청천부,
3117,풍미,
3118,풍전식당,
3119,파주 시노안 무인텔,
3120,호텔여기어때 대구역점,
3122,필모텔,
3123,하나개해수욕장,"
                    무의도에서 가장 큰 갯벌이라는 뜻의 해수욕장
                "
3124,하늘가든,
3125,하림한정식,
3127,한국이민사박물관,
3128,한양정,
3129,한중문화관,
3130,해군영흥도전적비,"
                    인천상륙작전의 발판을 이룬 영흥도 탈환작전의 성공을 기린 해군 영흥도전적비
                "
3131,해든뮤지움,
3133,해밀의아침펜션,"
                    럭셔리 펜션, 유럽형 객실, 수영장, 야경 감상.
                "
3134,을왕리해수욕장,
3135,해송펜션,
3136,해수워터피아,
3137,해월토장,"
                    토장전문점으로 된장수육, 된장비빔밥, 청국장, 된장국밥 등을 맛볼 수 있는 곳
                "
3138,원조양평서울해장국,
3142,형제한우소곱창,"
                    전통 한우곱창 한우 100퍼센트.한우 특수부위 전문점 형제한우소곱창입니다.얼큰한 국물에 부드러운 곱창맛이 진하게 배어들어간 한우 곱창전골도 맛볼 수 있습니다.
                "
3143,혜명박물관,
3144,호룡곡산,
3145,호명사,
3146,호불사,
3148,호텔준,"
                    인천공항 이용이 가장 편리한 호텔
                "
3149,카리스호텔,
